id,sbp,spc,cla,sbc,ifc,dvn,sbd,ord,sbo,ifo,spf,fam,sbf,tri,gen,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Sternorrhyncha,NA,Coccoidea,Coccidae,NA,NA,Rhodococcus,bulgariensis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,Rhynchitinae,NA,Rhynchites,auratus
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Curculionoidea,Curculionidae,NA,NA,Rhynchophorus,palmarum
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Dictyoptera,Blattodea,NA,NA,Blaberoidea,Blaberidae,Oxyhaloinae,NA,Rhyparobia,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Cucujoidea,Coccinellidae,NA,NA,Rodolia,cardinalis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Leptopodomorpha,NA,Saldidae,NA,NA,Saldula,arenicola
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Leptopodomorpha,NA,Saldidae,NA,NA,Saldula,saltatoria
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Leptopodomorpha,NA,Saldidae,NA,NA,Saldula,scotica
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Dictyoptera,Blattodea,NA,NA,Blaberoidea,Blaberidae,Panesthiinae,NA,Salganea,taiwanensis
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Dictyoptera,Blattodea,NA,NA,Blaberoidea,Blaberidae,Panesthiinae,NA,Salganea,raggei
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Dictyoptera,Blattodea,NA,NA,Blaberoidea,Blaberidae,Panesthiinae,NA,Salganea,gressiti
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Dictyoptera,Blattodea,NA,NA,Blaberoidea,Blaberidae,Panesthiinae,NA,Salganea,esakii
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Bombycoidea,Saturniidae,NA,NA,Samia,cynthia
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Coleoptera,Polyphaga,Cucujiformia,Chrysomeloidea,Cerambycidae,NA,NA,Saperda,carcharias
NA,Chelicerata,NA,Arachnida,NA,NA,NA,NA,Acari,NA,NA,NA,Tetranychidae,NA,NA,Sasanychus,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,NA,Sastragala,esakii
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,NA,Sastragala,scutellata
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Paraneoptera,Hemiptera,Heteroptera,Pentatomomorpha,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,NA,Sastragala,sp
NA,Hexapoda,NA,Insecta,Dicondylia,Pterygota,Neoptera,Endopterygota,Lepidoptera,Glossata,NA,Bombycoidea,Saturniidae,NA,NA,Saturnia,pyri
