"","taxon","parent_taxon"
"368","Grylloblattidae","Grylloblattodea"
"369","Isoptera",NA
"370","Kalotermitidae","Blattoidea"
"371","Neotermes","Kalotermitidae"
"372","Cryptotermes","Kalotermitidae"
"373","Hodotermitidae","Blattoidea"
"374","Rhinotermitidae","Blattoidea"
"375","Coptotermes","Coptotermitinae"
"376","Heterotermes","Heterotermitinae"
"377","Termitidae","Blattoidea"
"378","Nasutitermes","Nasutitermitinae"
"379","Termes","Termitinae"
"380","Microcerotermes","Termitinae"
"381","Dermaptera","Polyneoptera"
"382","Labiduridae","Pygidicranoidea"
"383","Labiidae","Forficuloidea"
"384","Spongiphora","Spongiphorinae"
"385","Forficulidae","Forficuloidea"
"386","Kleter","Cosmiellinae"
"387","Chelisochidae","Forficuloidea"
"388","Carcinophoridae","Pygidicranoidea"
"389","Euborellia","Carcinophorinae"
"390","Embioptera","Polyneoptera"
"391","Anisembiidae","Embioptera"
"392","Teratembiidae","Embioptera"
"393","Oligotomidae","Embioptera"
"394","Plecoptera","Polyneoptera"
"395","Filipalpia",NA
"396","Holognatha",NA
"397","Pteronarcyidae","Systellognatha"
"398","Pteronarcys","Pteronarcyini"
"399","Allonarcys",NA
"400","Pteronarcella","Pteronarcellini"
"401","Peltoperlidae","Systellognatha"
"402","Peltoperla","Peltoperlinae"
"403","Viehoperla","Peltoperlinae"
"404","Tallaperla","Peltoperlinae"
"405","Yoraperla","Peltoperlinae"
"406","Yoroperla",NA
"407","Sierraperla","Peltoperlinae"
"408","Nemouridae","Euholognatha"
"409","Brachyptera","Nemouridae"
"410","Taenionema","Brachypteryinae"
"411","Nemoura","Nemourinae"
"412","Amphinemura","Amphinemurinae"
"413","Soyedina","Nemourinae"
"414","Malenka","Amphinemurinae"
"415","Prostoia","Nemourinae"
"416","Zapada","Nemourinae"
"417","Podmosta","Nemourinae"
"418","Visoka","Nemourinae"
"419","Ledina",NA
"420","Paranemoura","Nemourinae"
"421","Ostrocerca","Nemourinae"
"422","Lednia","Nemourinae"
"423","Ostrocera",NA
"424","Shipsa","Nemourinae"
"425","Capniidae","Euholognatha"
"426","Allocapnia","Capniinae"
"427","Capnella",NA
"428","Capnia","Capniinae"
"429","Arsapnia",NA
"430","Capnura","Capniinae"
"431","Nemocapnia","Capniinae"
"432","Isocapnia","Capniinae"
"433","Utacapnia","Capniinae"
"434","Bolshecapnia","Capniinae"
"435","Mesocapnia","Capniinae"
"436","Eucapnopsis","Capniinae"
"437","Taeniopterygidae","Euholognatha"
"438","Taeniopteryx","Taeniopteryginae"
"439","Nephelopteryx",NA
